ID,ppl
0,232.50
0,232.50
1,157.29
1,157.29
2,339.11
2,339.11
3,222.90
3,222.90
4,251.19
4,251.19
5,249.00
5,249.00
6,851.83
6,851.83
7,300.57
7,300.57
8,92.08
8,92.08
9,113.59
9,113.59
10,218.98
10,218.98
11,107.09
11,107.09
12,471.54
12,471.54
13,96.73
13,96.73
14,79.01
14,79.01
15,245.90
15,245.90
16,248.80
16,248.80
17,51.67
17,51.67
18,367.06
18,367.06
19,477.66
19,477.66
20,57.53
20,57.53
21,907.02
21,907.02
22,624.99
22,624.99
23,41.04
23,41.04
24,113.07
24,113.07
25,32.37
25,32.37
26,62.67
26,62.67
27,276.39
27,276.39
28,109.17
28,109.17
29,160.65
29,160.65
30,2177.90
30,2177.90
31,481.05
31,481.05
32,216.57
32,216.57
33,59.20
33,59.20
34,121.13
34,121.13
35,247.57
35,247.57
36,33.06
36,33.06
37,143.36
37,143.36
38,386.98
38,386.98
39,102.47
39,102.47
40,76.61
40,76.61
41,165.53
41,165.53
42,282.93
42,282.93
43,245.08
43,245.08
44,128.60
44,128.60
45,765.58
45,765.58
46,204.11
46,204.11
47,51.97
47,51.97
48,48.40
48,48.40
49,249.41
49,249.41
50,146.96
50,146.96
51,49.85
51,49.85
52,298.81
52,298.81
53,754.34
53,754.34
54,27.57
54,27.57
55,260.99
55,260.99
56,294.63
56,294.63
57,713.06
57,713.06
58,24.26
58,24.26
59,116.51
59,116.51
60,281.39
60,281.39
61,57.52
61,57.52
62,129.70
62,129.70
63,108.18
63,108.18
64,679.16
64,679.16
65,206.95
65,206.95
66,998.63
66,998.63
67,88.10
67,88.10
68,170.28
68,170.28
69,107.95
69,107.95
70,138.38
70,138.38
71,228.29
71,228.29
72,76.61
72,76.61
73,33.69
73,33.69
74,521.49
74,521.49
75,98.69
75,98.69
76,157.91
76,157.91
77,672.03
77,672.03
78,214.55
78,214.55
79,120.38
79,120.38
80,61.31
80,61.31
81,773.64
81,773.64
82,264.65
82,264.65
83,73.79
83,73.79
84,214.04
84,214.04
85,112.25
85,112.25
86,1052.23
86,1052.23
87,131.33
87,131.33
88,88.24
88,88.24
89,31.73
89,31.73
90,135.64
90,135.64
91,127.46
91,127.46
92,1020.75
92,1020.75
93,369.55
93,369.55
94,32.31
94,32.31
95,289.25
95,289.25
96,595.62
96,595.62
97,66.54
97,66.54
98,302.84
98,302.84
99,529.09
99,529.09
100,547.20
100,547.20
101,295.29
101,295.29
102,334.15
102,334.15
103,157.57
103,157.57
104,185.77
104,185.77
105,194.34
105,194.34
106,569.43
106,569.43
107,217.26
107,217.26
108,611.37
108,611.37
109,993.11
109,993.11
110,74.59
110,74.59
111,460.32
111,460.32
112,36.97
112,36.97
113,148.39
113,148.39
114,165.47
114,165.47
115,158.70
115,158.70
116,24.13
116,24.13
117,210.75
117,210.75
118,218.93
118,218.93
119,868.71
119,868.71
120,530.04
120,530.04
121,647.57
121,647.57
122,268.68
122,268.68
123,11.96
123,11.96
124,294.54
124,294.54
125,211.88
125,211.88
126,1179.65
126,1179.65
127,838.45
127,838.45
128,94.16
128,94.16
129,89.02
129,89.02
130,537.63
130,537.63
131,113.88
131,113.88
132,258.63
132,258.63
133,209.43
133,209.43
134,251.79
134,251.79
135,148.71
135,148.71
136,95.89
136,95.89
137,209.67
137,209.67
138,58.02
138,58.02
139,197.50
139,197.50
140,87.86
140,87.86
141,199.58
141,199.58
142,258.79
142,258.79
143,221.71
143,221.71
144,239.22
144,239.22
145,451.44
145,451.44
146,285.82
146,285.82
147,140.72
147,140.72
148,38.46
148,38.46
149,388.00
149,388.00
150,26.22
150,26.22
151,49.30
151,49.30
152,78.38
152,78.38
153,924.01
153,924.01
154,40.17
154,40.17
155,756.04
155,756.04
156,6203.54
156,6203.54
157,1636.58
157,1636.58
158,120.75
158,120.75
159,30.71
159,30.71
160,112.80
160,112.80
161,164.83
161,164.83
162,475.16
162,475.16
163,158.14
163,158.14
164,80.79
164,80.79
165,99.29
165,99.29
166,192.87
166,192.87
167,279.04
167,279.04
168,418.32
168,418.32
169,100.98
169,100.98
170,70.68
170,70.68
171,193.56
171,193.56
172,53.62
172,53.62
173,126.67
173,126.67
174,287.19
174,287.19
175,417.53
175,417.53
176,117.97
176,117.97
177,189.84
177,189.84
178,600.98
178,600.98
179,147.72
179,147.72
180,281.63
180,281.63
181,33.76
181,33.76
182,275.32
182,275.32
183,148.76
183,148.76
184,463.26
184,463.26
185,498.30
185,498.30
186,59.95
186,59.95
187,56.32
187,56.32
188,99.51
188,99.51
189,158.54
189,158.54
190,644.54
190,644.54
191,673.69
191,673.69
192,74.59
192,74.59
193,163.66
193,163.66
194,17.22
194,17.22
195,225.48
195,225.48
196,138.14
196,138.14
197,324.06
197,324.06
198,46.98
198,46.98
199,176.05
199,176.05
200,15.53
200,15.53
201,49.25
201,49.25
202,232.21
202,232.21
203,754.64
203,754.64
204,9.40
204,9.40
205,120.85
205,120.85
206,138.09
206,138.09
207,105.05
207,105.05
208,193.59
208,193.59
209,50.05
209,50.05
210,624.87
210,624.87
211,127.68
211,127.68
212,504.66
212,504.66
213,236.26
213,236.26
214,258.39
214,258.39
215,854.16
215,854.16
216,215.66
216,215.66
217,8.53
217,8.53
218,17.19
218,17.19
219,221.52
219,221.52
220,1430.13
220,1430.13
221,38.81
221,38.81
222,7.38
222,7.38
